1 - Opening Credits - 0.0
2 - Chapter 1 - 22.84
3 - Chapter 2 - 851.4666666666667
4 - Chapter 3 - 3375.6133333333332
5 - Chapter 4 - 5014.946666666667
6 - Chapter 5 - 6393.693333333334
7 - Chapter 6 - 7736.84
8 - Chapter 7 - 8965.586666666666
9 - Chapter 8 - 10223.64
10 - Chapter 9 - 11706.0
11 - Chapter 10 - 13753.12
12 - Chapter 11 - 15840.506666666666
13 - Chapter 12 - 17341.02666666667
14 - Chapter 13 - 20255.266666666666
15 - Chapter 14 - 22289.093333333334
16 - Chapter 15 - 23865.453333333335
17 - Chapter 16 - 27725.906666666666
18 - Chapter 17 - 30238.92
19 - Chapter 18 - 33509.44
20 - Chapter 19 - 36160.933333333334
21 - Chapter 20 - 39329.85333333333
22 - Chapter 21 - 40789.6
23 - Chapter 22 - 42585.333333333336
24 - Chapter 23 - 45292.08
25 - Chapter 24 - 46381.746666666666
26 - Chapter 25 - 47827.14666666667
27 - ITLT outro-Chronothon Intro - 49559.96
28 - Chapter 1 - 49571.933333333334
29 - Chapter 2 - 51039.013333333336
30 - Chapter 3 - 53116.37333333334
31 - Chapter 4 - 54073.12
32 - Chapter 5 - 55354.17333333333
33 - Chapter 6 - 57028.41333333333
34 - Chapter 7 - 58556.386666666665
35 - Chapter 8 - 60697.58666666667
36 - Chapter 9 - 62426.77333333333
37 - Chapter 10 - 64424.386666666665
38 - Chapter 11 - 66178.93333333333
39 - Chapter 12 - 68204.82666666666
40 - Chapter 13 - 71711.46666666666
41 - Chapter 14 - 74765.53333333334
42 - Chapter 15 - 76121.4
43 - Chapter 16 - 78375.68
44 - Chapter 17 - 80123.26666666666
45 - Chapter 18 - 82632.68
46 - Chapter 19 - 85076.96
47 - Chapter 20 - 87111.16
48 - Chapter 21 - 89316.22666666667
49 - Chapter 22 - 91991.34666666666
50 - Chapter 23 - 93622.32
51 - Chapter 24 - 96481.44
52 - Chapter 25 - 98580.56
53 - Chapter 26 - 100566.57333333333
54 - Chapter 27 - 103229.2
55 - Chapter 28 - 106422.17333333334
56 - Chapter 29 - 108437.38666666667
57 - Chapter 30 - 111315.50666666667
58 - Chapter 31 - 113500.12
59 - Chapter 32 - 116343.50666666667
60 - Chapter 33 - 119319.13333333333
61 - The Day After Never - 120442.61333333333
62 - Chapter 1 - 120454.88
63 - Chapter 2 - 121686.41333333333
64 - Chapter 3 - 123546.70666666667
65 - Chapter 4 - 126170.09333333334
66 - Chapter 5 - 128847.86666666667
67 - Chapter 6 - 132050.21333333335
68 - Chapter 7 - 134196.62666666668
69 - Chapter 8 - 137060.70666666667
70 - Chapter 9 - 140876.54666666666
71 - Chapter 10 - 145912.16
72 - Chapter 11 - 149953.64
73 - Chapter 12 - 154335.76
74 - Chapter 13 - 159312.34666666668
75 - Chapter 14 - 163295.86666666667
76 - Chapter 15 - 166556.0
77 - Chapter 16 - 168782.69333333333
78 - Chapter 17 - 170879.82666666666
79 - Chapter 18 - 173524.16
80 - Chapter 19 - 175273.6
81 - Chapter 20 - 179271.56
82 - Chapter 21 - 180710.36
83 - Chapter 22 - 183168.89333333334
84 - Chapter 23 - 185660.53333333333
85 - Chapter 24 - 186848.24
86 - Chapter 25 - 188498.94666666666
87 - The Warp Clock - 189108.18666666668
88 - Chapter 1 - 189119.89333333334
89 - Chapter 2 - 189622.41333333333
90 - Chapter 3 - 190337.26666666666
91 - Chapter 4 - 191491.29333333333
92 - Chapter 5 - 192149.34666666668
93 - Chapter 6 - 192879.74666666667
94 - Chapter 7 - 193708.42666666667
95 - Chapter 8 - 194679.90666666668
96 - Chapter 9 - 195519.12
97 - Chapter 10 - 196754.88
98 - Chapter 11 - 197608.30666666667
99 - Chapter 12 - 198693.18666666668
100 - Chapter 13 - 199704.09333333332
101 - Chapter 14 - 200840.05333333334
102 - Chapter 15 - 201951.17333333334
103 - Chapter 16 - 203080.26666666666
104 - Chapter 17 - 204211.41333333333
105 - Chapter 18 - 205704.54666666666
106 - Chapter 19 - 206863.73333333334
107 - Chapter 20 - 207808.08
108 - Chapter 21 - 209236.29333333333
109 - Chapter 22 - 210462.96
110 - Chapter 23 - 212241.37333333332
111 - Chapter 24 - 214331.4
112 - Chapter 25 - 215737.93333333332
113 - Chapter 26 - 216801.73333333334
114 - Chapter 27 - 218326.21333333335
115 - Chapter 28 - 219449.92
116 - End Credits - 220031.72
